;Postal Code;City;Administrative Region;Population;Area km²;Population density per km²;Median Age;Neighborhoods;Latitude;Longitude
152;13435;Berlin;Berlin;11830;2.27;5211.45;43.0;Bezirk Reinickendorf;52.60453748781099;13.34629470878206
153;13437;Berlin;Berlin;23371;4.144;5639.72;43.0;Bezirk Reinickendorf, Wittenau;52.5918836351775;13.331312800555738
154;13439;Berlin;Berlin;11834;2.064;5733.53;43.0;Bezirk Reinickendorf, Märkisches Viertel;52.59981978750822;13.360856891529306
155;13465;Berlin;Berlin;6554;8.0;819.25;43.2;Bezirk Reinickendorf, Frohnau;52.64221511255155;13.291823341702807
156;13467;Berlin;Berlin;13751;5.9;2330.68;43.2;Bezirk Reinickendorf;52.61923186222948;13.309544093565677
157;13469;Berlin;Berlin;18011;8.0;2251.38;43.1;Bezirk Reinickendorf, Waidmannslust;52.61404331607882;13.34473909685186
158;13503;Berlin;Berlin;20756;16.8;1235.48;43.1;Bezirk Reinickendorf, Heiligensee;52.6142685472452;13.25072862515411
159;13505;Berlin;Berlin;3620;10.3;351.46;43.0;Bezirk Reinickendorf;52.5866691236435;13.243794162526996
160;13507;Berlin;Berlin;26645;8.8;3027.84;43.0;Bezirk Reinickendorf, Tegel;52.57760317075003;13.277175527294125
161;13509;Berlin;Berlin;21573;4.519;4773.84;43.0;Bezirk Reinickendorf;52.59147929660523;13.302158389330843
162;13581;Berlin;Berlin;25775;4.172;6178.09;43.0;Bezirk Spandau, Spandau;52.53262483816039;13.182873379052038
163;13583;Berlin;Berlin;10570;2.29;4615.72;43.0;Bezirk Spandau, Spandau;52.54498691395165;13.184940241792154
164;13585;Berlin;Berlin;14861;2.831;5249.38;43.0;Bezirk Spandau, Spandau;52.54995958844261;13.208241080672243
165;13587;Berlin;Berlin;17862;16.8;1063.21;43.1;Bezirk Spandau;52.57871681786268;13.18863851474087
166;13589;Berlin;Berlin;15489;7.0;2212.71;43.1;Bezirk Spandau, Spandau;52.55934572817576;13.17161555723093
167;13591;Berlin;Berlin;29112;8.6;3385.12;43.1;Bezirk Spandau, Staaken;52.536973859009095;13.143125543199387
168;13593;Berlin;Berlin;20594;5.8;3550.69;43.0;Bezirk Spandau;52.51442041058096;13.168932039563934
169;13595;Berlin;Berlin;16161;5.3;3049.25;43.0;Bezirk Spandau, Spandau;52.513140949933;13.199795923356762
170;13597;Berlin;Berlin;20837;4.105;5076.0;43.0;Altstadt Spandau, Bezirk Spandau, Spandau;52.53070557430274;13.219500040957865
171;13599;Berlin;Berlin;29724;7.9;3762.53;43.0;Bezirk Spandau, Haselhorst;52.54979107213931;13.237981756418298
172;13627;Berlin;Berlin;22640;4.469;5066.01;43.0;Bezirk Charlottenburg-Wilmersdorf, Charlottenburg-Wilmersdorf;52.54157450515483;13.303819665130373
173;13629;Berlin;Berlin;22419;6.8;3296.91;43.0;Bezirk Reinickendorf, Bezirk Spandau, Haselhorst, Siemensstadt;52.54422057795393;13.271127521969012
174;14050;Berlin;Berlin;13473;3.35;4021.79;43.0;Bezirk Charlottenburg-Wilmersdorf, Neu-Westend;52.523177324805054;13.270888873539771
175;14052;Berlin;Berlin;10278;2.052;5008.77;43.0;Bezirk Charlottenburg-Wilmersdorf, Neu-Westend;52.51777163473509;13.25779671198139
176;14053;Berlin;Berlin;7127;2.753;2588.81;43.0;Bezirk Charlottenburg-Wilmersdorf, Pichelsberg;52.51933647048312;13.236259872351996
177;14055;Berlin;Berlin;21822;7.4;2948.92;43.0;Bezirk Charlottenburg-Wilmersdorf, Eichkamp;52.50415948502088;13.248233654332145
178;14057;Berlin;Berlin;10494;1.444;7267.31;43.0;Bezirk Charlottenburg-Wilmersdorf, Charlottenburg;52.50736302702759;13.289823093884156
